region,id
MIDWEST,1
MIDWEST,2
MIDWEST,3
SOUTH,4
MIDWEST,5
MIDWEST,6
MIDWEST,7
MIDWEST,8
MIDWEST,9
MIDWEST,10
MIDWEST,11
MIDWEST,12
MIDWEST,13
MIDWEST,14
MIDWEST,15
MIDWEST,16
MIDWEST,17
MIDWEST,18
MIDWEST,19
MIDWEST,20
MIDWEST,21
MIDWEST,22
SOUTH,23
MIDWEST,24
MIDWEST,25
MIDWEST,26
MIDWEST,27
MIDWEST,28
MIDWEST,29
MIDWEST,30
MIDWEST,31
MIDWEST,32
SOUTH,33
MIDWEST,34
MIDWEST,35
MIDWEST,36
MIDWEST,37
MIDWEST,38
MIDWEST,39
MIDWEST,40
SOUTH,41
MIDWEST,42
MIDWEST,43
MIDWEST,44
MIDWEST,45
MIDWEST,46
MIDWEST,47
MIDWEST,48
MIDWEST,49
MIDWEST,50
MIDWEST,51
MIDWEST,52
MIDWEST,53
MIDWEST,54
MIDWEST,55
MIDWEST,56
MIDWEST,57
MIDWEST,58
MIDWEST,59
MIDWEST,60
MIDWEST,61
MIDWEST,62
MIDWEST,63
MIDWEST,64
MIDWEST,65
MIDWEST,66
MIDWEST,67
MIDWEST,68
MIDWEST,69
MIDWEST,70
MIDWEST,71
MIDWEST,72
MIDWEST,73
MIDWEST,74
MIDWEST,75
MIDWEST,76
MIDWEST,77
MIDWEST,78
MIDWEST,79
MIDWEST,80
MIDWEST,81
MIDWEST,82
SOUTH,83
MIDWEST,84
MIDWEST,85
MIDWEST,86
MIDWEST,87
MIDWEST,88
MIDWEST,89
MIDWEST,90
MIDWEST,91
MIDWEST,92
MIDWEST,93
MIDWEST,94
MIDWEST,95
MIDWEST,96
MIDWEST,97
MIDWEST,98
MIDWEST,99
MIDWEST,100
MIDWEST,101
MIDWEST,102
MIDWEST,103
MIDWEST,104
MIDWEST,105
MIDWEST,106
MIDWEST,107
MIDWEST,108
MIDWEST,109
MIDWEST,110
MIDWEST,111
MIDWEST,112
MIDWEST,113
MIDWEST,114
MIDWEST,115
MIDWEST,116
MIDWEST,117
SOUTH,118
MIDWEST,119
MIDWEST,120
MIDWEST,121
MIDWEST,122
MIDWEST,123
MIDWEST,124
MIDWEST,125
MIDWEST,126
MIDWEST,127
MIDWEST,128
MIDWEST,129
MIDWEST,130
MIDWEST,131
MIDWEST,132
MIDWEST,133
SOUTH,134
MIDWEST,135
MIDWEST,136
MIDWEST,137
MIDWEST,138
MIDWEST,139
MIDWEST,140
MIDWEST,141
MIDWEST,142
MIDWEST,143
MIDWEST,144
SOUTH,145
MIDWEST,146
MIDWEST,147
SOUTH,148
MIDWEST,149
MIDWEST,150
MIDWEST,151
